H1;H2;H3;MainImage;Canonical;MetaDescription
Рекомендации по написанию SEO-статей;Что такое SEO-текст;Основные требования к оптимизированному тексту;https://mc.yandex.ru/watch/35778470;https://timeweb.com/ru/community/articles/rekomendacii-po-napisaniyu-seo-statey;Подробное руководство для копирайтеров по написанию SEO-статей для сайта. Примеры ТЗ для копирайтеров и рекомендации по составлению текстов. Узнайте, что такое SEO-статья и как ее сделать. 
;Как писать SEO-статьи;Частые ошибки при написании и публикации SEO-текстов;/ru/community/bundles/app/img/main-banner/banner-craftum-dark-sm.webp;;
;Заключение;Этап 1. Сбор семантического ядра;/ru/community/bundles/app/img/main-banner/banner-craftum-blue-sm.webp;;
;;Этап 2. Составление плана;/bundles/app/dist/img/cm-logo.svg;;
;;Этап 3. Написание текста;/bundles/app/dist/img/logo-timeweb.png;;
;;Этап 4. Проверка, корректура и добавление дополнительных материалов;/bundles/app/dist/img/timekarma-icon.svg;;
;;Комментарии;/ru/community/avatar/2a/2adb1a37919217d4b0c21ae701639a85_thumb.jpg;;
;;;/ru/community/article/9c/9cd09453417a800c878be95250ef5bdf.jpg;;
;;;../../../media/Screenshot_138.jpg;;
;;;../../../media/Screenshot_79.jpg;;
;;;../../../media/Screenshot_228.jpg;;
;;;../../../media/Screenshot_414.jpg;;
;;;../../../media/Screenshot_88.jpg;;
;;;../../../media/Screenshot_612.jpg;;
;;;../../../media/Screenshot_98.jpg;;
;;;/ru/community/topic/c5/c57caba06150259cd05c812b31e0fe57.jpg;;
;;;/ru/community/bundles/app/img/community-avatar-05.svg;;
;;;/ru/community/bundles/app/img/community-avatar-02.svg;;
;;;/ru/community/rank/ed/ed85259ad5ac239e734750ac8b171eef.svg;;
;;;/ru/community/article/d2/d2e582d834c40fa8dc0890822d408bac_thumb.jpg;;
;;;/ru/community/article/2b/2b423dc8ff41ec180834922e151cc96a_thumb.jpg;;
;;;/ru/community/article/41/418f1f075da3ddbc4d885cfebdf75213_thumb.jpg;;
;;;/ru/community/article/ee/ee4ed6bf7663b6bc10fbf7671eaa733f_thumb.jpg;;
;;;/ru/community/article/c2/c2f289dd439721b6b1f61d7c43887bd6_thumb.jpg;;
